Campaign ID,Campaign Name,Country,Application ID,Application name,Pricing Model,Bid,Impressions,Clicks,Installs,Completions,Spend,D1 Ad Revenue,D3 Ad Revenue,D7 Ad Revenue,D14 Ad Revenue,D30 Ad Revenue,D1 IAP Revenue,D3 IAP Revenue,D7 IAP Revenue,D14 IAP Revenue,D30 IAP Revenue,D1 ROAS,D3 ROAS,D7 ROAS,D14 ROAS,D30 ROAS,D1 Retention,D3 Retention,D7 Retention
4295027,Hempire - iOS - RV - US,US,260775,Property Brothers Home Design,CPI,0.53,2687,426,24,24,42.58,2.62,3.96,4.87,4.98,5.44,0,1.99,1.99,1.99,1.99,6.16,13.98,16.12,16.36,17.44,0,0,0
4295027,Hempire - iOS - RV - US,US,158609,Block Craft 3D Simulador,CPI,0.56,10915,3881,24,24,82.1,1.47,1.65,1.83,2.62,2.81,0,0,0,0,0,1.79,2.01,2.22,3.19,3.43,0,0,0
4295027,Hempire - iOS - RV - US,US,135837,Goosebumps Horror Town,CPI,0.56,2582,451,24,24,48.72,7.22,11.78,19.17,27.67,32.58,1.99,3.98,8.97,8.97,8.97,18.91,32.35,57.75,75.21,85.29,0,0,0
4295027,Hempire - iOS - RV - US,US,230965,Basketball Orbit,CPI,1.3,1308,376,23,24,41.23,2.71,4.29,6.48,9.97,12.35,1.99,1.99,21.94,21.94,21.94,11.4,15.24,68.93,77.4,83.16,0,0,0
4295027,Hempire - iOS - RV - US,US,237787,Subway Idle,CPI,0.56,2847,673,22,22,54.76,1.42,3.8,8.83,10.33,11.85,0,0,1.99,1.99,1.99,2.59,6.95,19.76,22.49,25.27,0,0,0
4295027,Hempire - iOS - RV - US,US,245451,Off-Road Travel: Road to Hill,CPI,0.56,2903,453,20,19,38.41,3.3,5.91,9.01,10.78,14.25,0,0,0,0,0,8.58,15.39,23.45,28.06,37.11,0,0,0
4295027,Hempire - iOS - RV - US,US,241151,Fisherman Go!,CPI,0.56,1607,403,20,19,38.85,1.09,1.38,2.41,4.18,6.57,0,0,0,0,0,2.8,3.55,6.21,10.77,16.91,0,0,0
4295027,Hempire - iOS - RV - US,US,237457,Hoop.,CPI,0.56,2662,450,20,20,45.04,0.94,1,1.05,1.13,1.13,1.99,1.99,1.99,11.98,11.98,6.5,6.65,6.75,29.11,29.11,0,0,0
4295027,Hempire - iOS - RV - US,US,213133,MLB Home Run Derby 19,CPI,2.6,5515,883,20,20,48.17,2.01,3.58,5.94,10.25,25.97,47.9,50.89,62.86,62.86,62.86,103.61,113.08,142.83,151.77,184.41,0,0,0
4295027,Hempire - iOS - RV - US,US,69377,Vlogger Go Viral - Clicker Game & Vlog Simulator,CPI,0.87,3772,1191,19,19,40.55,1.49,1.61,3.13,4.71,4.99,4.98,4.98,6.97,6.97,6.97,15.97,16.25,24.92,28.81,29.5,0,0,0
4295027,Hempire - iOS - RV - US,US,188157,Idle Tycoon: Space Company,CPI,0.56,920,169,18,18,29.74,1.97,3.93,5.72,8.67,11.65,48.91,50.9,85.84,107.81,109.8,171.08,184.37,307.87,391.66,408.36,0,0,0
4295027,Hempire - iOS - RV - US,US,212461,Bitcoin Billionaire,CPI,0.56,1834,461,17,17,38.9,2.09,3.15,3.83,5.49,7.67,16.98,19.97,19.97,19.97,19.97,49.03,59.45,61.19,65.45,71.05,0,0,0
4295027,Hempire - iOS - RV - US,US,222053,Virus War- Space Shooting Game,CPI,0.84,4040,690,17,17,49.98,3.78,5.93,9.1,13.46,20.72,18.95,31.92,51.88,76.83,161.7,45.48,75.74,122.02,180.68,365.01,0,0,0
