Site ID,Channel,Campaign Name,Country,Spend,Installs,IPM,CPI,D1 Total Revenue,D3 Total Revenue,D7 IAP Revenue,,D1 Total ROAS,D3 Total ROAS,D7 Total ROAS
252629,IronSource,nk_a16_is_01,US,234.33,287,16.70158287,0.816480836,58.5517,77.3906,86.2106,43.302,0.249868561,0.330263304,0.367902531
263857,IronSource,nk_a16_is_01,US,229.92,283,21.17471006,0.812438163,35.2796,61.0598,74.3902,23.709,0.153442937,0.265569763,0.323548191
242971,IronSource,nk_a16_is_01,US,228.8,285,20.03796667,0.802807018,32.9907,47.6014,64.6211,26.544,0.144190122,0.208048077,0.282434878
176227,IronSource,nk_a16_is_01,US,227.97,278,14.5465962,0.820035971,23.1112,40.2493,56.0372,17.4772,0.101378252,0.176555248,0.245809536
247377,IronSource,nk_a16_is_01,US,210.58,251,11.99751446,0.838964143,34.8994,58.3097,71.4502,35.1731,0.165729889,0.276900465,0.339301928
163623,IronSource,nk_a16_is_01,US,207.3,252,9.876156137,0.822619048,28.4601,55.5001,66.3992,34.916,0.137289436,0.267728413,0.320304872
204805,IronSource,nk_a16_is_01,US,199.83,248,9.711779449,0.805766129,29.9393,52.5689,61.1983,24.43,0.14982385,0.263068108,0.306251814
134841,IronSource,nk_a16_is_01,US,195.3,244,8.150449277,0.800409836,26.3402,41.392,50.431,20.237,0.134870456,0.211940604,0.258223246
253807,IronSource,nk_a16_is_01,US,185.22,203,14.9330587,0.912413793,50.6305,73.4287,83.8492,45.3561,0.27335331,0.396440449,0.452700572
247343,IronSource,nk_a16_is_01,US,182.1,224,13.10861423,0.812946429,22.86,43.4913,64.4699,36.316,0.12553542,0.23883196,0.354035695
202833,IronSource,nk_a16_is_01,US,176.67,209,17.18608667,0.845311005,18.6611,32.6921,38.1006,9.765,0.105626875,0.185046131,0.215659705
233175,IronSource,nk_a16_is_01,US,172.67,212,15.60774498,0.814481132,15.5119,24.8307,35.9621,14.665,0.089835524,0.143804367,0.20827069
226383,IronSource,nk_a16_is_01,US,168.15,204,14.19525433,0.824264706,20.5918,44.8312,57.5725,17.465,0.122460898,0.266614332,0.342387749
244913,IronSource,nk_a16_is_01,US,163,196,9.16273199,0.831632653,29.0897,47.9401,66.8508,39.809,0.178464417,0.294111043,0.410127607
187197,IronSource,nk_a16_is_01,US,158.1,188,27.43324092,0.840957447,15.95,24.5301,30.7316,8.379,0.100885515,0.155155598,0.194380772
255511,IronSource,nk_a16_is_01,US,154.39,174,11.53922674,0.887298851,36.2611,58.9912,73.3808,36.932,0.234866896,0.382092104,0.475295032
190817,IronSource,nk_a16_is_01,US,153.55,185,15.09957558,0.83,17.7298,37.6797,48.0599,25.844,0.115465972,0.245390427,0.312991859
271623,IronSource,nk_a16_is_01,US,149.71,187,15.91489362,0.800588235,30.701,51.382,60.8314,17.465,0.205069802,0.343210206,0.406328235
237787,IronSource,nk_a16_is_01,US,143.4,171,21.19484383,0.838596491,32.2904,41.5024,53.8598,42.539,0.225177127,0.289417015,0.375591353
278051,IronSource,nk_a16_is_01,US,142.3,187,16.71284297,0.760962567,21.0713,30.6303,40.3222,17.465,0.148076599,0.215251581,0.283360506
254133,IronSource,nk_a16_is_01,US,142.1,179,13.02102277,0.793854749,28.1318,49.5016,60.6507,50.288,0.197971851,0.348357495,0.42681703
201899,IronSource,nk_a16_is_01,US,139.32,174,9.793988517,0.800689655,20.4196,29.6891,34.6899,15.365,0.146566179,0.213100057,0.248994401
275637,IronSource,nk_a16_is_01,US,138.59,167,21.65175677,0.82988024,18.7934,28.6918,33.5418,16.751,0.1356043,0.207026481,0.242021791
165815,IronSource,nk_a16_is_01,US,137.23,172,5.695364238,0.797848837,18.37,37.9599,44.17,17.465,0.133862858,0.276615172,0.321868396
144487,IronSource,nk_a16_is_01,US,135.94,161,14.28824991,0.844347826,22.981,34.9505,38.391,25.809,0.169052523,0.257102398,0.282411358
